text,page,line
phrases branch and turn to catch the sun:,17,phrases branch and turn to catch the sun:
,17,
,17,
       Thrones haYe crumbled and new empires arisen; great ideas haYe,17,       thrones haye crumbled and new empires arisen; great ideas haye
"       been born and great pictures painted, and the world reYolution­",17,"       been born and great pictures painted, and the world reyolution­"
      i{ed by science and inYention; and still no man can say how many,17,      i{ed by science and inyention; and still no man can say how many
       centuries this Oak will endure or what nations and creeds it may,17,       centuries this oak will endure or what nations and creeds it may
      outliYe . . . .,17,      outliye . . . .
,17,
,17,
"       Where the deer bound, where the trout rise, where your horse stops",17,"       where the deer bound, where the trout rise, where your horse stops"
      to slather a drink from icy water while the sun is warm on the back,17,      to slather a drink from icy water while the sun is warm on the back
"      ofyour neck, where eYery breath you draw is exhilaration - that",17,"      ofyour neck, where eyery breath you draw is exhilaration - that"
      is where the Aspens grow. . . .,17,      is where the aspens grow. . . .
,17,
,17,
   And of her father's beloved tree:,17,   and of her father's beloved tree:
,17,
,17,
"      Let other trees do the work ofthe world. Let the Beech stand, where",17,"      let other trees do the work ofthe world. let the beech stand, where"
      still it holds its ground . . .,17,      still it holds its ground . . .
,17,
,17,
   She never exactly becomes a swan. Yet the senior who emerges out of,17,   she never exactly becomes a swan. yet the senior who emerges out of
freshman ugly ducklinghood knows what she loves and how she intends to,17,freshman ugly ducklinghood knows what she loves and how she intends to
,17,
                           THE OVERSTORY       •   121,18,                           the overstory       •   121
,18,
,18,
,18,
"spend her life, and that's a novelty among the youth of any year. Those she",18,"spend her life, and that's a novelty among the youth of any year. those she"
"doesn't scare away come sniff her out, this keen, homely, forthright girl who",18,"doesn't scare away come sniff her out, this keen, homely, forthright girl who"
"has escaped the stoop of constant social compliance. To her astonishment,",18,"has escaped the stoop of constant social compliance. to her astonishment,"
"she even has suitors. Something about her perks boys up. Not her looks, of",18,"she even has suitors. something about her perks boys up. not her looks, of"
"course, but an ever-so-slightly head-turning quality to her walk that they",18,"course, but an ever-so-slightly head-turning quality to her walk that they"
can't quite place. Independent thought-a power of attraction all its own.,18,can't quite place. independent thought-a power of attraction all its own.
"   When boys come calling, she makes them take her for a picnic lunch in",18,"   when boys come calling, she makes them take her for a picnic lunch in"
Richmond Cemetery-serving the needs of dead people since 1848. Some­,18,richmond cemetery-serving the needs of dead people since 1848. some­
"times they flee, and that's that. If they stick around and mention the trees,",18,"times they flee, and that's that. if they stick around and mention the trees,"
"she'll see them again. Desire, she scribbles into her field notebooks, turns out",18,"she'll see them again. desire, she scribbles into her field notebooks, turns out"
"to be infinitely varied, the sweetest of evolution's tricks. And in the pollen",18,"to be infinitely varied, the sweetest of evolution's tricks. and in the pollen"
"stor ms of spring, even she turns out to be a more than adequate flower.",18,"stor ms of spring, even she turns out to be a more than adequate flower."
"    One boy sticks around, month after month. Andy, the English major.",18,"    one boy sticks around, month after month. andy, the english major."
He plays in the orchestra with her and loves Hart Crane and O'Neill and,18,he plays in the orchestra with her and loves hart crane and o'neill and
"Moby-Dick, although he can't say why. He can get birds to land on his shoul­",18,"moby-dick, although he can't say why. he can get birds to land on his shoul­"
der. He's waiting for·something to come and redeem his aimless life. One,18,der. he's waiting for·something to come and redeem his aimless life. one
"night, over cribbage, he says he thinks it might be her. She takes him by the",18,"night, over cribbage, he says he thinks it might be her. she takes him by the"
"hand and leads him to her narrow bed. Clumsy and green, they peel back the",18,"hand and leads him to her narrow bed. clumsy and green, they peel back the"
"shields of clothing. Ten minutes later, she's turned into a tree just a little too",18,"shields of clothing. ten minutes later, she's turned into a tree just a little too"
late to be spared.,18,late to be spared.
,18,
,18,
,18,
RE AL Lr FE     s TART s in graduate school. There are mornings in West,18,re al lr fe     s tart s in graduate school. there are mornings in west
Lafayette when Patricia Westerford's luck scares her. Forestry school. She,18,lafayette when patricia westerford's luck scares her. forestry school. she
feels unworthy. Purdue pays her to take classes that she has craved for years.,18,feels unworthy. purdue pays her to take classes that she has craved for years.
"She gets food and lodging for teaching undergraduate botany, something",18,"she gets food and lodging for teaching undergraduate botany, something"
she' d gladly pay to do. And her research demands long days in the Indiana,18,she' d gladly pay to do. and her research demands long days in the indiana
woods. It's an animist's heaven.,18,woods. it's an animist's heaven.
"   But by her second year, the catch becomes clear. In a seminar on forest",18,"   but by her second year, the catch becomes clear. in a seminar on forest"
"management, the professor declares that snags and windthrow should be",18,"management, the professor declares that snags and windthrow should be"
"cleaned up from the forest floor and pulped, to improve forest health. That",18,"cleaned up from the forest floor and pulped, to improve forest health. that"
doesn't seem right. A healthy forest must need dead trees. They've been,18,doesn't seem right. a healthy forest must need dead trees. they've been
"around since the beginning. Birds turn them to use, and small mammals, and",18,"around since the beginning. birds turn them to use, and small mammals, and"
,18,
                           122 •   RICHARD POWERS,19,                           122 •   richard powers
,19,
,19,
,19,
more forms of insects lodge and dine on them than science has ever counted.,19,more forms of insects lodge and dine on them than science has ever counted.
"She wants to raise her hand and say, like Ovid, how all life is turning into",19,"she wants to raise her hand and say, like ovid, how all life is turning into"
other things. But she doesn't have the data. All she has is the intuition of a,19,other things. but she doesn't have the data. all she has is the intuition of a
girl who grew up playing in the forest litter.,19,girl who grew up playing in the forest litter.
"   Soon, she sees. Something is wrong with the entire field, not just at",19,"   soon, she sees. something is wrong with the entire field, not just at"
"Purdue, but nationwide. The men in charge of American forestry dream of",19,"purdue, but nationwide. the men in charge of american forestry dream of"
turning out straight clean uniform grains at maximum speed. They speak of,19,turning out straight clean uniform grains at maximum speed. they speak of
"thrifty young forests and decadent old ones, of mean annual increment and eco­",19,"thrifty young forests and decadent old ones, of mean annual increment and eco­"
"nomic maturity. She's sure these men who run the field will have to fall, next",19,"nomic maturity. she's sure these men who run the field will have to fall, next"
year or the year after. And up from the downed trunks of their beliefs will,19,year or the year after. and up from the downed trunks of their beliefs will
spring rich new undergrowth. That's where she'll thrive.,19,spring rich new undergrowth. that's where she'll thrive.
"   She preaches this covert revolution to her undergrads. ""You' ll look back",19,"   she preaches this covert revolution to her undergrads. ""you' ll look back"
"in twenty years, amazed at what every smart person in forestry took to be",19,"in twenty years, amazed at what every smart person in forestry took to be"
"self-evident truth,. It's the refrain of all good science: 'How could we not have",19,"self-evident truth,. it's the refrain of all good science: 'how could we not have"
"seen?'""",19,"seen?'"""
   She works well with her fellow grads. She goes to the barbecues and hoo­,19,   she works well with her fellow grads. she goes to the barbecues and hoo­
tenannies and manages to take part in departmental gossip while remaining,19,tenannies and manages to take part in departmental gossip while remaining
"her own little sovereign state. One night there's a dizzy, warm, wild misun­",19,"her own little sovereign state. one night there's a dizzy, warm, wild misun­"
derstanding with a woman in plant genetics. Patricia puts the embarrassed,19,derstanding with a woman in plant genetics. patricia puts the embarrassed
"fumble away in a drawer of her heart and never takes it out again, even to",19,"fumble away in a drawer of her heart and never takes it out again, even to"
look at.,19,look at.
"   A secret suspicion sets her apart from the others. She's sure, on no evi­",19,"   a secret suspicion sets her apart from the others. she's sure, on no evi­"
"dence whatsoever, that trees are social creatures. It's obvious to her: motion­",19,"dence whatsoever, that trees are social creatures. it's obvious to her: motion­"
less things that grow in mass mixed communities must have evolved ways to,19,less things that grow in mass mixed communities must have evolved ways to
synchronize with one another. Nature knows few loner trees. But the belief,19,synchronize with one another. nature knows few loner trees. but the belief
"leaves her marooned. Bitter irony: here she is, with her people, at last, and",19,"leaves her marooned. bitter irony: here she is, with her people, at last, and"
even they can't see the obvious.,19,even they can't see the obvious.
   Purdue gets hold of one of the first prototype quadrupole gas,19,   purdue gets hold of one of the first prototype quadrupole gas
chromatography-mass spectrometers. Some pagan god brings the machine,19,chromatography-mass spectrometers. some pagan god brings the machine
"right to Patricia, as a reward for her constancy. With such a device, she",19,"right to patricia, as a reward for her constancy. with such a device, she"
can measure which volatile organic compounds the grand old eastern trees,19,can measure which volatile organic compounds the grand old eastern trees
put into the air and what these gases do to the neighbors. She pitches the,19,put into the air and what these gases do to the neighbors. she pitches the
,19,
                            THE OVERSTORY       •   123,20,                            the overstory       •   123
,20,
,20,
,20,
idea to her advisor. People know nothing about the stuff trees make. It's a,20,idea to her advisor. people know nothing about the stuff trees make. it's a
"whole new green world, ripe for discovery.",20,"whole new green world, ripe for discovery."
"  ""How will that produce anything useful?""",20,"  ""how will that produce anything useful?"""
"   ""It might not.""",20,"   ""it might not."""
"   ""Why do you need to do this in a forest? Why not the campus test plots?""",20,"   ""why do you need to do this in a forest? why not the campus test plots?"""
"   ""You wouldn't study wild animals by going to the zoo.""",20,"   ""you wouldn't study wild animals by going to the zoo."""
"   ""You think cultivated trees behave differently than trees in a forest?""",20,"   ""you think cultivated trees behave differently than trees in a forest?"""
   She's sure ofit. But his sigh is as clear as a public service announcement: Girls,20,   she's sure ofit. but his sigh is as clear as a public service announcement: girls
"doing science are like bears riding bikes. Possible, but freakish. ""I'll reserve",20,"doing science are like bears riding bikes. possible, but freakish. ""i'll reserve"
"some trees in the wood lot. It'll make things easier and save you lots of time.""",20,"some trees in the wood lot. it'll make things easier and save you lots of time."""
"   ""There's no hurry.""",20,"   ""there's no hurry."""
"   ""Your dissertation. Your time to waste.""",20,"   ""your dissertation. your time to waste."""
   She wastes it with the most intense pleasure. The work isn't glamorous. It,20,   she wastes it with the most intense pleasure. the work isn't glamorous. it
"consists of taping numbered plastic bags over the ends of branches, then col­",20,"consists of taping numbered plastic bags over the ends of branches, then col­"
"lecting them at measured intervals. She does this over and over, dumbly and",20,"lecting them at measured intervals. she does this over and over, dumbly and"
"mutely, hour by hour, while the world around her rages with assassination,",20,"mutely, hour by hour, while the world around her rages with assassination,"
"race riot, and jungle warfare. She works all day in the woods, her back crawl­",20,"race riot, and jungle warfare. she works all day in the woods, her back crawl­"
"ing with chiggers, her scalp with ticks, her mouth filled with leaf duff, her",20,"ing with chiggers, her scalp with ticks, her mouth filled with leaf duff, her"
"eyes with pollen, cobwebs like scarves around her face, bracelets of poison",20,"eyes with pollen, cobwebs like scarves around her face, bracelets of poison"
"ivy, her knees gouged by cinders, her nose lined with spores, the backs of her",20,"ivy, her knees gouged by cinders, her nose lined with spores, the backs of her"
"thighs bitten Braille by wasps, and her heart as happy as the day is generous.",20,"thighs bitten braille by wasps, and her heart as happy as the day is generous."
   She brings the collected samples back into the lab and spends hour after,20,   she brings the collected samples back into the lab and spends hour after
"tedious hour puzzling out the concentrations and molecular weights, deter­",20,"tedious hour puzzling out the concentrations and molecular weights, deter­"
mining which gases each of her trees breathed out. There must be thousands,20,mining which gases each of her trees breathed out. there must be thousands
of compounds. Tens of thousands. The tedium makes her ecstatic. She calls it,20,of compounds. tens of thousands. the tedium makes her ecstatic. she calls it
"the science paradox. It's the most brain-crushing work a person can do, yet it",20,"the science paradox. it's the most brain-crushing work a person can do, yet it"
can spring the mind enough to see what else but the mind is really out there.,20,can spring the mind enough to see what else but the mind is really out there.
"And she gets to work in the dappling sun and rain, the stink of humus filling",20,"and she gets to work in the dappling sun and rain, the stink of humus filling"
"up her nose with relentlessly musky life. Out in the woods, her father is with",20,"up her nose with relentlessly musky life. out in the woods, her father is with"
"her again, all day long. She asks him things, and the mere act of asking out",20,"her again, all day long. she asks him things, and the mere act of asking out"
loud helps her see. What starts a shelf fungus growing at just a certain height,20,loud helps her see. what starts a shelf fungus growing at just a certain height
up a trunk? How many square meters of solar panel does a given tree put,20,up a trunk? how many square meters of solar panel does a given tree put
,20,
                               124 •   RICHARD POWERS,21,                               124 •   richard powers
,21,
,21,
,21,
out? Why should there be such tremendous difference in size between the,21,out? why should there be such tremendous difference in size between the
leaf of a serviceberry and that of a sycamore?,21,leaf of a serviceberry and that of a sycamore?
"   It's a miracle, she tells her students, photosynthesis: a feat of chemical",21,"   it's a miracle, she tells her students, photosynthesis: a feat of chemical"
engineering underpinning creation's entire cathedral. All the razzmatazz of,21,engineering underpinning creation's entire cathedral. all the razzmatazz of
life on Earth is a free-rider on that mind-boggling magic act. The secret of,21,life on earth is a free-rider on that mind-boggling magic act. the secret of
"life: plants eat light and air and water, and the stored energy goes on to make",21,"life: plants eat light and air and water, and the stored energy goes on to make"
and do all things. She leads her charges into the inner sanctum of the mys­,21,and do all things. she leads her charges into the inner sanctum of the mys­
tery: Hundreds of chlorophyll molecules assemble into antennae complexes.,21,tery: hundreds of chlorophyll molecules assemble into antennae complexes.
Countless such antennae arrays form up into thylakoid discs. Stacks of these,21,countless such antennae arrays form up into thylakoid discs. stacks of these
discs align in a single chloroplast. Up to a hundred such solar power factories,21,discs align in a single chloroplast. up to a hundred such solar power factories
power a single plant cell. Millions of cells may shape a single leaf. A million,21,power a single plant cell. millions of cells may shape a single leaf. a million
leaves rustle in a single glorious ginkgo.,21,leaves rustle in a single glorious ginkgo.
   Too many zeros: their eyes glaze over. She must shepherd them back,21,   too many zeros: their eyes glaze over. she must shepherd them back
"over that ultrafine line between numbness and awe. ""Billions of years ago,",21,"over that ultrafine line between numbness and awe. ""billions of years ago,"
"a single, f luke, self-copying cell learned how to turn a barren ball of poison",21,"a single, f luke, self-copying cell learned how to turn a barren ball of poison"
"gas and volcanic slag into this peopled garden. And everything you hope,",21,"gas and volcanic slag into this peopled garden. and everything you hope,"
"fear, and love became possible."" They think she's nuts, and that's fine with",21,"fear, and love became possible."" they think she's nuts, and that's fine with"
"her. She's content to post a memory forward to their distant futures, futures",21,"her. she's content to post a memory forward to their distant futures, futures"
that will depend on the inscrutable generosity of green things.,21,that will depend on the inscrutable generosity of green things.
"   Late at night, too tired from teaching and research to work more, she",21,"   late at night, too tired from teaching and research to work more, she"
reads her beloved Muir. A Thousand-Mile Walk to the Gulf and My First,21,reads her beloved muir. a thousand-mile walk to the gulf and my first
Summer in the Sierra float her soul up to her room's ceiling and spin it like a,21,summer in the sierra float her soul up to her room's ceiling and spin it like a
Sufi. She writes her favorite lines in the inside covers of her field notebooks,21,sufi. she writes her favorite lines in the inside covers of her field notebooks
and peeks at them when department politics and the cruelty of frightened,21,and peeks at them when department politics and the cruelty of frightened
humans get her down. The words withstand the full brutality of day.,21,humans get her down. the words withstand the full brutality of day.
"    We all travel the Milky Way together, trees and men. . . . In every walk with",21,"    we all travel the milky way together, trees and men. . . . in every walk with"
nature one receives far more than he seeks. The clearest way into the universe is,21,nature one receives far more than he seeks. the clearest way into the universe is
through a forest wilderness.,21,through a forest wilderness.
,21,
,21,
,21,
"PLANT-PATTY becomes Dr. Pat Westerford, a way to disguise her gender",21,"plant-patty becomes dr. pat westerford, a way to disguise her gender"
in professional correspondence. Her work on tulip trees earns her a doctor­,21,in professional correspondence. her work on tulip trees earns her a doctor­
"ate. It turns out that those thick, long lengths of culvert pipe stood on end",21,"ate. it turns out that those thick, long lengths of culvert pipe stood on end"
,21,
                            THE OVERSTORY •       125,22,                            the overstory •       125
,22,
,22,
,22,
are factories richer than anyone suspects. Liriodendron has a repertoire of,22,are factories richer than anyone suspects. liriodendron has a repertoire of
scents. It breathes out volatile organic compounds that do all kinds of things.,22,scents. it breathes out volatile organic compounds that do all kinds of things.
She doesn't yet know how the system works. She just knows it's rich and,22,she doesn't yet know how the system works. she just knows it's rich and
beautiful.,22,beautiful.
   She lands a postdoc at Wisconsin. She searches Madison for relics of Aldo,22,   she lands a postdoc at wisconsin. she searches madison for relics of aldo
"Leopold. She looks for the towering black locust, with its fragrant racemes",22,"leopold. she looks for the towering black locust, with its fragrant racemes"
"and pea-pod seeds, the tree that stunned Muir into becoming a naturalist.",22,"and pea-pod seeds, the tree that stunned muir into becoming a naturalist."
But the world-changing locust was cut down twelve years before.,22,but the world-changing locust was cut down twelve years before.
"   The postdoc turns into an adjunct position. She makes almost nothing,",22,"   the postdoc turns into an adjunct position. she makes almost nothing,"
"but life requires little. Her budget is blessedly free of those two core expenses,",22,"but life requires little. her budget is blessedly free of those two core expenses,"
entertainment and status. And the woods teem with free food.,22,entertainment and status. and the woods teem with free food.
"   She starts to examine sugar maples, in a forest east of town. Her break­",22,"   she starts to examine sugar maples, in a forest east of town. her break­"
through comes as breakthroughs often do: by long and prepared accident.,22,through comes as breakthroughs often do: by long and prepared accident.
Patricia arrives in her copse on a balmy day in June to find one of her bagged,22,patricia arrives in her copse on a balmy day in june to find one of her bagged
trees under full-scale insect invasion. At first it seems that the last several,22,trees under full-scale insect invasion. at first it seems that the last several
"days of data are ruined. Improvising, she keeps the samples from the dam­",22,"days of data are ruined. improvising, she keeps the samples from the dam­"
"aged tree, as well as several nearby maples. Back in the lab, she widens the",22,"aged tree, as well as several nearby maples. back in the lab, she widens the"
"list of compounds she looks at. Over the next few weeks, she finds something",22,"list of compounds she looks at. over the next few weeks, she finds something"
that even she isn't ready to believe.,22,that even she isn't ready to believe.
"   Another nearby tree gets infested. She measures again. Again, she doubts",22,"   another nearby tree gets infested. she measures again. again, she doubts"
"the evidence. Fall begins, and the leaves of her complex chemical factories",22,"the evidence. fall begins, and the leaves of her complex chemical factories"
"shutter and drop to the forest floor. She battens down for the winter, teach­",22,"shutter and drop to the forest floor. she battens down for the winter, teach­"
"ing, double-checking her results, trying to accept their crazy implications.",22,"ing, double-checking her results, trying to accept their crazy implications."
"She wanders the woods, wondering if she should publish or run the experi­",22,"she wanders the woods, wondering if she should publish or run the experi­"
"ment for another year. The oaks in her forest shine scarlet still, the beeches a",22,"ment for another year. the oaks in her forest shine scarlet still, the beeches a"
stunning bronze. It seems wise to wait.,22,stunning bronze. it seems wise to wait.
"   Confirmation comes the following spring. Three more trials, and she's",22,"   confirmation comes the following spring. three more trials, and she's"
convinced. The trees under attack pump out insecticides to save their lives.,22,convinced. the trees under attack pump out insecticides to save their lives.
That much is uncontroversial. But something else in the data makes her flesh,22,that much is uncontroversial. but something else in the data makes her flesh
"pucker: trees a little way off, untouched by the invading swarms, ramp up",22,"pucker: trees a little way off, untouched by the invading swarms, ramp up"
their own defenses when their neighbor is attacked. Something alerts them.,22,their own defenses when their neighbor is attacked. something alerts them.
"They get wind of the disaster, and they prepare. She controls for everything",22,"they get wind of the disaster, and they prepare. she controls for everything"
"she can, and the results are always the same. Only one conclusion makes any",22,"she can, and the results are always the same. only one conclusion makes any"
,22,
                              ]26   • RICHARD POWERS,23,                              ]26   • richard powers
,23,
,23,
,23,
sense: The wounded trees send out alarms that other trees smell. Her maples,23,sense: the wounded trees send out alarms that other trees smell. her maples
"are signaling. They're linked together in an airborne network, sharing an",23,"are signaling. they're linked together in an airborne network, sharing an"
"immune system across acres of woodland. These brainless, stationary trunks",23,"immune system across acres of woodland. these brainless, stationary trunks"
are protecting each other.,23,are protecting each other.
   She can't quite let herself believe. But the data keep confirming. And on,23,   she can't quite let herself believe. but the data keep confirming. and on
"that evening when Patricia finally accepts what the measurements say, her",23,"that evening when patricia finally accepts what the measurements say, her"
"limbs heat up and tears run down her face. For all she knows, she's the first",23,"limbs heat up and tears run down her face. for all she knows, she's the first"
creature in the expanding adventure of life who has ever glimpsed this small,23,creature in the expanding adventure of life who has ever glimpsed this small
"but certain thing that evolution is up to. Life is talking to itself, and she has",23,"but certain thing that evolution is up to. life is talking to itself, and she has"
listened in.,23,listened in.
   She writes up the results as soberly as she can. Her report is all chemis­,23,   she writes up the results as soberly as she can. her report is all chemis­
"try, concentrations, and rates-nothing but what the gas chromatography",23,"try, concentrations, and rates-nothing but what the gas chromatography"
"equipment records. But in her paper's conclusion, she can't resist suggesting",23,"equipment records. but in her paper's conclusion, she can't resist suggesting"
what the results spell out:,23,what the results spell out:
,23,
,23,
       The biochemical behavior ofindividual trees may make sense only,23,       the biochemical behavior ofindividual trees may make sense only
       when we see them as members ofa community.,23,       when we see them as members ofa community.
,23,
,23,
   Dr. Pat Westerford's paper gets accepted by a reputable journal. The peer,23,   dr. pat westerford's paper gets accepted by a reputable journal. the peer
"reviewers raise their eyebrows, but her data are sound and no one can find",23,"reviewers raise their eyebrows, but her data are sound and no one can find"
"any problems except common sense. On the day the article appears, Patricia",23,"any problems except common sense. on the day the article appears, patricia"
"feels she has discharged her debt to the world. If she dies tomorrow, she'll still",23,"feels she has discharged her debt to the world. if she dies tomorrow, she'll still"
have added this one small thing to what life has come to know about itself.,23,have added this one small thing to what life has come to know about itself.
   The press picks up on her findings. She does an interview for a popular,23,   the press picks up on her findings. she does an interview for a popular
science magazine. She struggles to hear the questions over the phone and,23,science magazine. she struggles to hear the questions over the phone and
"stumbles with her answers. But the piece runs, and other newspapers pick",23,"stumbles with her answers. but the piece runs, and other newspapers pick"
"it up. ""Trees Talk to One Another."" She gets a few letters from researchers",23,"it up. ""trees talk to one another."" she gets a few letters from researchers"
"across the country, asking for details. She's invited to speak at the midwest­",23,"across the country, asking for details. she's invited to speak at the midwest­"
ern branch meeting of the professional forestry society.,23,ern branch meeting of the professional forestry society.
"   Four months later, the journal that ran the piece prints a letter signed by",23,"   four months later, the journal that ran the piece prints a letter signed by"
three leading dendrologists. The men say her methods are flawed and her,23,three leading dendrologists. the men say her methods are flawed and her
statistics problematic. The defenses of the intact trees could have been acti­,23,statistics problematic. the defenses of the intact trees could have been acti­
vated by other mechanisms. Or these trees might already have been com-,23,vated by other mechanisms. or these trees might already have been com-
,23,
                            THE OVERSTORY       •   127,24,                            the overstory       •   127
,24,
,24,
,24,
promised by insects in ways she didn't notice. The letter mocks the idea that,24,promised by insects in ways she didn't notice. the letter mocks the idea that
trees send each other chemical warnings:,24,trees send each other chemical warnings:
,24,
,24,
       Patricia Wester.ford displays an almost embarrassing misunder­,24,       patricia wester.ford displays an almost embarrassing misunder­
       standing ofthe units ofnatural selection. . . . Even ifa message is,24,       standing ofthe units ofnatural selection. . . . even ifa message is
"       in some way ""received,"" it would in no way imply that any such",24,"       in some way ""received,"" it would in no way imply that any such"
"       message has been ""sent.""",24,"       message has been ""sent."""
,24,
,24,
   The short letter contains four uses of the word Patricia and no mention,24,   the short letter contains four uses of the word patricia and no mention
"of Doctor, until their own signatures. Two Yale professors and a name chair",24,"of doctor, until their own signatures. two yale professors and a name chair"
"at Northwestern, versus an unknown adjunct girl at Madison: No one in the",24,"at northwestern, versus an unknown adjunct girl at madison: no one in the"
profession bothers trying to replicate Patricia Westerford's findings. Those,24,profession bothers trying to replicate patricia westerford's findings. those
researchers who wrote her for more information stop responding to her let­,24,researchers who wrote her for more information stop responding to her let­
ters. The newspapers that ran the wide-eyed articles follow up with accounts,24,ters. the newspapers that ran the wide-eyed articles follow up with accounts
of her brutal debunking.,24,of her brutal debunking.
   Patricia goes through with her scheduled talk at the midwestern for­,24,   patricia goes through with her scheduled talk at the midwestern for­
"estry conference, in Columbus. The room is small and hot. Her hearing aids",24,"estry conference, in columbus. the room is small and hot. her hearing aids"
howl with feedback. Her slides jam in the carousel. The questions are hos­,24,howl with feedback. her slides jam in the carousel. the questions are hos­
"tile. Fielding them from behind the podium, Patricia feels her old childhood",24,"tile. fielding them from behind the podium, patricia feels her old childhood"
speech defect returning to punish her for her hubris. For the three agonizing,24,speech defect returning to punish her for her hubris. for the three agonizing
"days of the conference, people nudge each other as she passes them in the",24,"days of the conference, people nudge each other as she passes them in the"
halls of the hotel: There's the woman who thinks that trees are intelligent.,24,halls of the hotel: there's the woman who thinks that trees are intelligent.
   Madison doesn't renew her lectureship. She scrambles to line up a job,24,   madison doesn't renew her lectureship. she scrambles to line up a job
"elsewhere, but it's too late in the season. She can't even get work washing",24,"elsewhere, but it's too late in the season. she can't even get work washing"
glassware for some other researcher. No other animal closes ranks faster than,24,glassware for some other researcher. no other animal closes ranks faster than
"Homo sapiens. Without a lab to use, she can't vindicate herself. At thirty-two,",24,"homo sapiens. without a lab to use, she can't vindicate herself. at thirty-two,"
she starts substitute teaching in high schools. Friends in the field murmur in,24,she starts substitute teaching in high schools. friends in the field murmur in
"sympathy, but none goes public to defend her. Meaning drains from her like",24,"sympathy, but none goes public to defend her. meaning drains from her like"
green from a maple in fall. After long weeks in solitude replaying what hap­,24,green from a maple in fall. after long weeks in solitude replaying what hap­
"pened, she decides it's time to shed.",24,"pened, she decides it's time to shed."
   She's too cowardly to give in to the scenarios that play in her head most,24,   she's too cowardly to give in to the scenarios that play in her head most
nights as she tries to fall asleep. The pain prevents her. Not hers: the pain,24,nights as she tries to fall asleep. the pain prevents her. not hers: the pain
she' d inflict on her mother and brothers and remaining friends. Only the,24,she' d inflict on her mother and brothers and remaining friends. only the
,24,
                           ]28   • RICHARD POWERS,25,                           ]28   • richard powers
,25,
,25,
,25,
"woods protect her from undying shame. She tramps the winter trails, feeling",25,"woods protect her from undying shame. she tramps the winter trails, feeling"
"the thick, sticky horse chestnut buds with her frozen fingers. The understory",25,"the thick, sticky horse chestnut buds with her frozen fingers. the understory"
fills up with tracks like longhand accusations scribbled on the snow. She lis­,25,fills up with tracks like longhand accusations scribbled on the snow. she lis­
"tens to the forest, to the chatter that has always sustained her. But all she can",25,"tens to the forest, to the chatter that has always sustained her. but all she can"
hear is the deafening wisdom of crowds.,25,hear is the deafening wisdom of crowds.
   Half a year passes at the bottom of a well. One bright blue crisp Sunday,25,   half a year passes at the bottom of a well. one bright blue crisp sunday
"morning in high summer, Patricia finds several unexpanded caps of Amanita",25,"morning in high summer, patricia finds several unexpanded caps of amanita"
bisporigera under a stand of oak in the bottomlands of Token Creek. The fungi,25,bisporigera under a stand of oak in the bottomlands of token creek. the fungi
"are beautiful, but take forms that would make the old Doctrine of Signatures",25,"are beautiful, but take forms that would make the old doctrine of signatures"
"blush. She gathers them in her mushroom bag and brings them home. There,",25,"blush. she gathers them in her mushroom bag and brings them home. there,"
"she cooks up a Sunday feast for one: chicken tenderloins in butter, olive oil,",25,"she cooks up a sunday feast for one: chicken tenderloins in butter, olive oil,"
"garlic, shallots, and white wine, all seasoned with just enough Destroying",25,"garlic, shallots, and white wine, all seasoned with just enough destroying"
Angel to shut down both her kidneys and her liver.,25,angel to shut down both her kidneys and her liver.
   She sets the tclble and sits down to a meal that smells like health itself.,25,   she sets the tclble and sits down to a meal that smells like health itself.
"The beauty of the plan is that no one will know. Every year, amateur mycol­",25,"the beauty of the plan is that no one will know. every year, amateur mycol­"
ogists mistake young A. bisporigera for Agaricus silvicola or even Volvariella,25,ogists mistake young a. bisporigera for agaricus silvicola or even volvariella
volvacea. Neither her friends nor family nor former colleagues will think,25,volvacea. neither her friends nor family nor former colleagues will think
"anything but this: she was wrong in her controversial research, and wrong",25,"anything but this: she was wrong in her controversial research, and wrong"
in her choice of fungal fruiting bodies for her dinner. She brings the steam­,25,in her choice of fungal fruiting bodies for her dinner. she brings the steam­
ing forkful to her lips.,25,ing forkful to her lips.
"   Something stops her. Signals flood her muscles, finer than any words.",25,"   something stops her. signals flood her muscles, finer than any words."
Not this. Come with. Fear nothing.,25,not this. come with. fear nothing.
"   The fork drops back to the plate. She rouses as from sleepwalking. Fork,",25,"   the fork drops back to the plate. she rouses as from sleepwalking. fork,"
"plate, mushroom feast: everything turns, as she watches, into a fit of mad­",25,"plate, mushroom feast: everything turns, as she watches, into a fit of mad­"
"ness, lifted. In another heartbeat, she can't believe what her animal fear was",25,"ness, lifted. in another heartbeat, she can't believe what her animal fear was"
willing to make her do. The opinion of others left her ready to suffer the,25,willing to make her do. the opinion of others left her ready to suffer the
most agonizing of deaths. She runs the entire meal down the garbage dis­,25,most agonizing of deaths. she runs the entire meal down the garbage dis­
"posal and goes hungry, a hunger more wonderful than any meal.",25,"posal and goes hungry, a hunger more wonderful than any meal."
"   Her real life starts this night-a long, postmortem bonus round. Noth­",25,"   her real life starts this night-a long, postmortem bonus round. noth­"
ing in the years to come can do worse than she was ready to do to herself.,25,ing in the years to come can do worse than she was ready to do to herself.
Human estimation can no longer touch her. She's free now to experiment. To,25,human estimation can no longer touch her. she's free now to experiment. to
discover anything.,25,discover anything.
"   Then several missing years. From the outside, yes: Patricia Wester-",25,"   then several missing years. from the outside, yes: patricia wester-"
,25,
                              THE OVERSTORY   •   129,26,                              the overstory   •   129
